"","Symbol","X","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","change"
"1","CPT2",3348,1287.53053812991,-1.47392907089403,0.0802231394565464,-18.3728669917287,2.16658918510531e-75,3.31058731248389e-73,"down"
"2","LDHD",7822,602.258329369392,-2.96600938164651,0.209234815228073,-14.1755060142045,1.29903393924658e-45,3.72177612222319e-44,"down"
"3","ACAT1",151,2125.24602171434,-1.28133656479939,0.104104378651935,-12.3081908887179,8.18370494840996e-35,1.16543929160354e-33,"down"
"4","SLC25A42",13187,253.655344969144,-1.25204145265318,0.103861734881918,-12.0548867595621,1.8278353608749e-33,2.410724382255e-32,"down"
"5","ACADM",143,1425.94118328257,-1.30630606310605,0.118402218032633,-11.0327837164843,2.65516992198763e-28,2.56313813584702e-27,"down"
"6","KY",7723,7.48000522279813,-2.6326699544642,0.240742172757542,-10.9356409153773,7.78538956589599e-28,7.31567825081229e-27,"down"
"7","MPC1",8796,1322.59231229039,-1.14969328299624,0.105670716804546,-10.8799610503521,1.43624322294762e-27,1.32680399261517e-26,"down"
"8","HBB",6311,838.222122654328,-2.64399457675731,0.289508862441604,-9.13268959871866,6.68182285474268e-20,3.83002357010107e-19,"down"
"9","FLI1",5359,297.277189378062,-1.3225296134214,0.151999480979746,-8.70088242997114,3.29313307142368e-18,1.68186781163556e-17,"down"
"10","PC",10207,701.922368433035,-1.07418555529693,0.133453915125659,-8.04911234178094,8.3396671231066e-16,3.62318376216729e-15,"down"
"11","CFH",2798,853.079563178379,-1.25692897639669,0.189015012939073,-6.64988964025754,2.93312864371711e-11,9.19911148781173e-11,"down"
"12","LDHAL6B",7819,3.16463222182001,-1.16425392338893,0.212394277992386,-5.48156915710634,4.21569867816732e-08,1.03207946420895e-07,"down"
"13","GATA1",5648,4.15177509028103,-1.16654391756966,0.258981951273474,-4.50434446042858,6.65781398598569e-06,1.35383267013911e-05,"down"
"14","SLC4A1",13334,2.24753201120387,-1.62561223148339,0.372187433781936,-4.36772465680783,1.25547629685025e-05,2.48792306003939e-05,"down"
"15","SLC16A7",13108,119.082915230267,-1.03891220624417,0.263757575556473,-3.93889049083152,8.18592800453207e-05,0.000149227778251148,"down"
"16","MYC",9101,9663.26692379718,1.9207296264586,0.123105652125837,15.6022862743561,7.0233213399179e-55,3.51393962378606e-53,"up"
"17","PUS1",11483,1652.55679055691,1.5870990958994,0.107263994726451,14.7961960576509,1.55004271571089e-49,5.40952150229883e-48,"up"
"18","PNPT1",10859,1615.39065162558,1.03736256671878,0.0836012734006665,12.4084541361844,2.35149029137124e-35,3.47721245265453e-34,"up"
"19","GTPBP3",6225,805.914271024038,1.04271516170602,0.0850870547760624,12.2546862674975,1.58561796098765e-34,2.21712005245767e-33,"up"
"20","SPP1",13779,5415.8181529279,3.91868829901679,0.321508507020564,12.1884435821978,3.58197166156874e-34,4.89555369475161e-33,"up"
"21","HS6ST2",6688,553.720785914011,3.55972239851209,0.295785873007453,12.0347951790869,2.33212092134685e-33,3.05444810401266e-32,"up"
"22","SLC13A3",13088,308.353217584737,4.2602597949347,0.354410291845912,12.0206999992736,2.76618082626778e-33,3.6034710441112e-32,"up"
"23","ALDH4A1",514,1014.62655885229,1.87393306036503,0.16039555215401,11.6831984129192,1.55338370080776e-31,1.80830068286893e-30,"up"
"24","CLPB",3056,659.641504835196,1.0626732682213,0.0954179046220271,11.1370425962591,8.28241662184323e-29,8.28290497187989e-28,"up"
"25","CARS2",2154,2646.52521371301,1.00682902996629,0.0977271202226833,10.3024526628034,6.86873058776068e-25,5.43632942132566e-24,"up"
"26","IRAK1",7100,8517.14004449195,1.05808858682319,0.104576678804513,10.1178254933979,4.6053335632487e-24,3.45013527236136e-23,"up"
"27","CD46",2505,16049.1874596997,1.06533313274333,0.105445183916382,10.1031938413436,5.34717676059813e-24,3.979528961672e-23,"up"
"28","ATAD3A",1093,1602.03216390322,1.160449097518,0.114879628596232,10.1014349689155,5.44396821151057e-24,4.04978705418556e-23,"up"
"29","PDP1",10386,1208.33509990063,1.06006683481933,0.112038046259451,9.46166833688343,3.03068516373442e-21,1.89052780662374e-20,"up"
"30","KCNN4",7355,3552.20343561504,1.66917991104084,0.180948070244342,9.22463505019353,2.8452815109488e-20,1.66467125585383e-19,"up"
"31","HPDL",6651,702.88008401106,1.44672066389356,0.197459765701251,7.32666049083837,2.35958581707798e-13,8.64569778428594e-13,"up"
"32","COL4A1",3201,12201.5190572698,1.03662799026147,0.15448646828856,6.71015398141663,1.94419144353468e-11,6.17286242489548e-11,"up"
"33","CA5A",2018,3.05280103270495,1.94057925784592,0.342687102158782,5.66283132811566,1.48895502664149e-08,3.79077847596311e-08,"up"
"34","SLC16A8",13109,18.0560011498584,1.30273350333752,0.242510448683108,5.37186546151592,7.79262422598028e-08,1.86629058877226e-07,"up"
